1	1	2, 4, 6, 10	-6,-7
2	1	1, 3, 4, 5, 7, 8	0,-7
3	1	2, 5, 9, 11	6,-7
4	1	1, 2, 6, 7	-3,-6
5	1	2, 3, 8, 9	3,-6
6	1	1, 4, 10, 15	-5,-5
7	1	2, 4, 12, 13	-1,-5
8	1	2, 5, 12, 14	1,-5
9	1	3, 5, 11, 16	5,-5
10	1	1, 6, 17	-6,-4
11	1	3, 9, 20	6,-4
12	0	7, 8, 13, 14	0,-3
13	0	7, 12, 15, 18	-2,-2
14	0	8, 12, 16, 19	2,-2
15	0	6, 13, 17, 18	-4,-1
16	0	9, 14, 19, 20	4,-1
17	0	10, 15, 18, 21, 26	-6,0
18	0	13, 15, 17, 19, 21, 23	-3,0
19	0	14, 16, 18, 20, 22, 24	3,0
20	0	11, 16, 19, 22, 27	6,0
21	0	17, 18, 23, 28	4,1
22	0	19, 20, 24, 31	-4,1
23	0	18, 21, 25, 29	2,2
24	0	19, 22, 25, 30	-2,2
25	0	23, 24, 29, 30	0,3
26	2	17, 28, 34	6,4
27	2	20, 31, 36	-6,4
28	2	18, 26, 32, 34	5,5
29	2	21, 25, 32, 35	1,5
30	2	24, 25, 33, 35	-1,5
31	2	22, 27, 33, 36	-5,5
32	2	28, 29, 34, 35	3,6
33	2	30, 31, 35, 36	-3,6
34	2	26, 28, 32, 35	6,7
35	2	29, 30, 32, 33, 34, 36	0,7
36	2	27, 31, 33, 35	-6,7
